Channel_Name,Channel_ID,Date_of_Publishing,Hour_GMT2,Title,Description,Tags,video_type,View_Count,Like_Count,Comment_Count,Favorite_Count,Definition,Has_Captions,Licensed_Content,Topic_Categories,Video_ID,Duration,Thumbnail_URL
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-26,19:00,Nie wszystko pokazałem. Gonciarz o granicach opowieści,https://www.instagram.com/zurnalistapl/,,long,5454,35,4,0,hd,false,True,22,kHnRsDnnI9k,PT1M25S,https://i.ytimg.com/vi/kHnRsDnnI9k/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-26,18:00,Krzysztof Gonciarz: nie toleruję już braku szacunku,https://www.instagram.com/zurnalistapl/,,shorts,12823,62,17,0,hd,false,True,22,8V-YADL0lkY,PT22S,https://i.ytimg.com/vi/8V-YADL0lkY/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-26,17:00,Krzysztof Gonciarz – miał problem z używkami?,https://www.instagram.com/zurnalistapl/,,shorts,21522,76,4,0,hd,false,True,22,13irJRBn3Mw,PT14S,https://i.ytimg.com/vi/13irJRBn3Mw/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-26,16:00,Krzysztof Gonciarz: 2021 to najcięższy rok mojego życia,https://www.instagram.com/zurnalistapl/,,shorts,12949,31,0,0,hd,false,True,22,Jtar-ahFiHQ,PT14S,https://i.ytimg.com/vi/Jtar-ahFiHQ/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-26,15:00,Ciągły lincz w sieci? Krzysztof Gonciarz,https://www.instagram.com/zurnalistapl/,,shorts,14268,78,1,0,hd,false,True,22,G3cwuWTkaXs,PT33S,https://i.ytimg.com/vi/G3cwuWTkaXs/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-26,14:01,Czy afera zrujnowała Krzysztofa Gonciarza finansowo?,https://www.instagram.com/zurnalistapl/,,long,10626,61,2,0,hd,false,True,22,pOEfSz10Fgs,PT1M26S,https://i.ytimg.com/vi/pOEfSz10Fgs/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-26,13:00,Krzysztof Gonciarz: bycie osobą publiczną = mniej praw?,https://www.instagram.com/zurnalistapl/,,shorts,7246,36,1,0,hd,false,True,22,L5jwjvWtEBE,PT53S,https://i.ytimg.com/vi/L5jwjvWtEBE/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-26,12:01,Jak Krzysztof Gonciarz wspomina Fame MMA?,https://www.instagram.com/zurnalistapl/,,long,6451,54,8,0,hd,false,True,22,hn_uXIhD-rY,PT1M5S,https://i.ytimg.com/vi/hn_uXIhD-rY/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-26,11:01,Krzysztof Gonciarz – dlaczego to robi publicznie?,https://www.instagram.com/zurnalistapl/,,shorts,15403,112,5,0,hd,false,True,22,ogT2tTi1oGg,PT38S,https://i.ytimg.com/vi/ogT2tTi1oGg/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-26,10:00,Krzysztof Gonciarz – co się zmieniło na lepsze?,https://www.instagram.com/zurnalistapl/,,shorts,10306,40,2,0,hd,false,True,22,dH1ZMIZ3jR8,PT30S,https://i.ytimg.com/vi/dH1ZMIZ3jR8/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-26,09:00,Największe wsparcie? Kobiety! – Krzysztof Gonciarz,https://www.instagram.com/zurnalistapl/,,shorts,9399,71,4,0,hd,false,True,22,b8lQvlUMR2g,PT40S,https://i.ytimg.com/vi/b8lQvlUMR2g/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-25,20:00,Krzysztof Gonciarz – stał się mściwy?,https://www.instagram.com/zurnalistapl/,,shorts,14607,57,3,0,hd,false,True,22,ll1NML6ZqX4,PT23S,https://i.ytimg.com/vi/ll1NML6ZqX4/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-25,18:00,Krzysztof Gonciarz – słowa Żulczyka uderzyły najmocniej?,https://www.instagram.com/zurnalistapl/,,shorts,21012,66,0,0,hd,false,True,22,A3XX6Vh59-M,PT35S,https://i.ytimg.com/vi/A3XX6Vh59-M/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-25,16:01,Krzysztof Gonciarz: Internet zamienił mnie w ofiarę Hunger Games,https://www.instagram.com/zurnalistapl/,,long,13473,119,5,0,hd,false,True,22,mEn-6dTogow,PT1M19S,https://i.ytimg.com/vi/mEn-6dTogow/default.jpg
